rgn_id,year,a_prot_1km
2002,2011,6736.25
2002,2012,6736.5
2002,2013,6765.25
2002,2014,6769.75
2002,2015,6778.5
2002,2016,6819.75
2002,2017,6819.75
2002,2018,6819.75
2003,2000,4988
2003,2001,5001.75
2003,2002,5231.25
2003,2003,5860.5
2003,2004,6165
2003,2005,6386
2003,2006,6489.5
2003,2007,6491.5
2003,2008,6495.5
2003,2009,6630.75
2003,2010,6731
2003,2011,6736.25
2003,2012,6736.5
2003,2013,6765.25
2003,2014,6769.75
2003,2015,6778.5
2003,2016,6819.75
2003,2017,6819.75
2003,2018,6819.75
2004,2000,4988
2004,2001,5001.75
2004,2002,5231.25
2004,2003,5860.5
2004,2004,6165
2004,2005,6386
2004,2006,6489.5
2004,2007,6491.5
2004,2008,6495.5
2004,2009,6630.75
2004,2010,6731
2004,2011,6736.25
2004,2012,6736.5
2004,2013,6765.25
2004,2014,6769.75
2004,2015,6778.5
2004,2016,6819.75
2004,2017,6819.75
2004,2018,6819.75
2012,2000,4988
2012,2001,5001.75
2012,2002,5231.25
2012,2003,5860.5
2012,2004,6165
2012,2005,6386
2012,2006,6489.5
2012,2007,6491.5
2012,2008,6495.5
2012,2009,6630.75
2012,2010,6731
2012,2011,6736.25
2012,2012,6736.5
2012,2013,6765.25
2012,2014,6769.75
2012,2015,6778.5
2012,2016,6819.75
2012,2017,6819.75
2012,2018,6819.75
2014,2000,4988
2014,2001,5001.75
2014,2002,5231.25
2014,2003,5860.5
2014,2004,6165
2014,2005,6386
2014,2006,6489.5
2014,2007,6491.5
2014,2008,6495.5
2014,2009,6630.75
2014,2010,6731
2014,2011,6736.25
2014,2012,6736.5
2014,2013,6765.25
2014,2014,6769.75
2014,2015,6778.5
2014,2016,6819.75
2014,2017,6819.75
2014,2018,6819.75
2015,2000,4988
2015,2001,5001.75
2015,2002,5231.25
